customer_id,age,job,marital,education,credit_def,Avey_bal,house_loan,personal_loan,communication,day,month,call_duration,campaign,pdays,previous,poutcome,response
24061,33,admin.,married,tertiary,no,882,no,no,telephone,21,oct,39,1,151,3,failure,no
24065,33,services,married,secondary,no,3444,yes,no,telephone,21,oct,144,1,91,4,failure,yes
24078,36,management,married,tertiary,no,0,yes,no,telephone,23,oct,140,1,143,3,failure,yes
24128,51,admin.,single,secondary,no,3132,no,no,telephone,5,nov,449,1,176,1,failure,no
24152,33,unemployed,divorced,secondary,no,1005,yes,no,telephone,10,nov,175,1,174,2,failure,no
24166,30,admin.,married,secondary,no,873,yes,no,telephone,12,nov,119,1,167,3,success,no
24171,30,management,single,tertiary,no,1243,yes,no,telephone,13,nov,86,1,174,1,failure,no
24185,44,entrepreneur,married,tertiary,no,1631,yes,no,cellular,17,nov,81,1,195,2,failure,no
24187,51,management,divorced,tertiary,no,119,no,no,cellular,17,nov,200,1,165,2,failure,no
24188,51,technician,married,secondary,no,58,yes,no,cellular,17,nov,79,1,129,2,failure,no
24190,44,management,married,tertiary,no,6203,yes,yes,cellular,17,nov,58,1,188,1,failure,no
24199,34,technician,single,secondary,no,105,yes,no,cellular,17,nov,303,1,196,2,failure,no
24204,49,management,married,tertiary,no,1533,no,no,cellular,17,nov,324,1,172,1,failure,no
24208,47,housemaid,married,tertiary,no,228,yes,no,cellular,17,nov,80,1,118,1,failure,no
24209,40,management,single,secondary,no,1623,yes,no,cellular,17,nov,161,1,167,2,failure,no
24231,47,blue-collar,married,secondary,no,1484,no,no,cellular,17,nov,297,1,119,3,failure,no
24237,54,technician,single,secondary,no,198,yes,yes,cellular,17,nov,120,1,171,2,failure,no
24240,48,admin.,divorced,secondary,no,295,yes,no,cellular,17,nov,123,1,164,2,success,no
24251,45,technician,married,secondary,no,1477,yes,no,cellular,17,nov,75,1,132,1,failure,no
24254,39,admin.,married,secondary,no,401,yes,no,cellular,17,nov,396,1,129,2,failure,no
24255,39,blue-collar,married,primary,no,3324,no,no,cellular,17,nov,96,1,131,1,failure,no
24258,37,management,married,tertiary,yes,0,no,no,cellular,17,nov,44,1,123,2,failure,no
24265,49,management,married,tertiary,no,64,no,no,cellular,17,nov,208,1,159,1,success,no
24267,43,technician,married,secondary,no,1865,yes,no,cellular,17,nov,155,1,186,1,failure,no
24300,50,management,married,secondary,no,633,no,yes,telephone,17,nov,302,1,111,6,failure,no
24312,56,retired,married,secondary,no,2749,yes,yes,cellular,17,nov,38,1,172,2,failure,no
24313,51,entrepreneur,married,tertiary,no,209,no,no,cellular,17,nov,130,1,111,2,failure,no
24316,50,technician,single,secondary,no,246,yes,no,cellular,17,nov,270,1,123,2,failure,no
24324,45,technician,married,secondary,no,1415,yes,no,cellular,17,nov,483,1,116,1,failure,no
24327,40,services,divorced,secondary,no,5766,yes,yes,cellular,17,nov,68,2,173,1,failure,no
24328,30,management,married,tertiary,no,101,yes,no,cellular,17,nov,348,1,123,1,failure,no
24332,36,management,married,tertiary,no,5057,yes,no,cellular,17,nov,70,1,166,10,failure,no
24344,34,housemaid,married,tertiary,no,1265,yes,no,cellular,17,nov,118,1,164,3,failure,no
24351,59,management,married,tertiary,no,0,no,no,cellular,17,nov,90,2,110,2,failure,no
24354,53,services,married,secondary,no,1364,no,no,cellular,17,nov,508,1,115,1,failure,no
24359,46,management,single,tertiary,no,46,no,yes,cellular,17,nov,80,1,152,1,failure,no
24360,52,retired,married,secondary,no,5423,no,yes,cellular,17,nov,93,1,115,1,failure,no
